state,datayeardef,legyear,deficitlag1
NM,2010,2011,455124.0551
NM,2011,2012,-1184320.772
NM,2012,2013,112655.4232
NM,2013,2014,-437754.9792
NM,2014,2015,-1051653.302
NM,2015,2016,-808328.9259
NM,2016,2017,1019630
NY,2002,2003,7026813.648
NY,2003,2004,7026813.648
NY,2004,2005,4653351.002
NY,2005,2006,-3223135.12
NY,2006,2007,-6225638.245
NY,2007,2008,236940.7913
NY,2008,2009,1717492.916
NY,2009,2010,14658546.38
NY,2010,2011,6420538.588
NY,2011,2012,1061200.003
NY,2012,2013,1434837.888
NY,2013,2014,339729.4774
NY,2014,2015,-2524587.094
NY,2015,2016,-6408645.722
NY,2016,2017,-323000
NC,2002,2003,-68407.08875
NC,2003,2004,-413910.1545
NC,2004,2005,-511025.9561
NC,2005,2006,-1577618.657
NC,2006,2007,-3268028.82
NC,2007,2008,-2862875.457
NC,2008,2009,-417738.0563
NC,2009,2010,727171.7477
NC,2010,2011,-588308.6783
NC,2011,2012,-2129980.468
NC,2012,2013,-1711513.813
NC,2013,2014,-2886417.715
NC,2014,2015,-4082172.359
NC,2015,2016,-5017402.463
NC,2016,2017,-5377288
ND,2002,2003,-39480.71112
ND,2003,2004,3651.720723
ND,2004,2005,-261962.7251
ND,2005,2006,-391308.7067
ND,2006,2007,-526431.0464
ND,2007,2008,-714644.9971
ND,2008,2009,-584556.383
ND,2009,2010,-355971.047
ND,2010,2011,-1111998.808
ND,2011,2012,-1806480.321
ND,2012,2013,-2356690.207
ND,2013,2014,-3309850.209
ND,2014,2015,-3251606.287
ND,2015,2016,-2154604.602
ND,2016,2017,104196
OH,2002,2003,5762586.796
OH,2003,2004,3754191.449
OH,2004,2005,-538828.5406
OH,2005,2006,-850552.7755
OH,2006,2007,-2012615.589
OH,2007,2008,-3651485.378
OH,2008,2009,-1197972.637
OH,2009,2010,3620607.478
OH,2010,2011,290778.9609
OH,2011,2012,-2849613.191
OH,2012,2013,-2460206.929
OH,2013,2014,-1960174.474
OH,2014,2015,-3296096.2
OH,2015,2016,-1023162.367
OH,2016,2017,-732611
OK,2002,2003,346307.857
OK,2003,2004,-24059.45024
OK,2004,2005,-1003952.352
OK,2005,2006,-1057766.085
OK,2006,2007,-1564787.968
OK,2007,2008,-1209301.158
OK,2008,2009,-805193.2326
OK,2009,2010,134737.8555
OK,2010,2011,234798.2046
OK,2011,2012,-1119609.141
OK,2012,2013,-1577218.282
OK,2013,2014,-988720.1172
OK,2014,2015,-1030828.018
OK,2015,2016,-1337967.846
OK,2016,2017,669669
OR,2002,2003,1302985.179
OR,2003,2004,413315.3803
OR,2004,2005,753640.3253
OR,2005,2006,-232117.8124
OR,2006,2007,-1344401.785
OR,2007,2008,-270265.8841
OR,2008,2009,181784.8384
OR,2009,2010,2477737.76
OR,2010,2011,923914.7323
OR,2011,2012,-1468510.996
OR,2012,2013,-792778.1126
OR,2013,2014,-1775374.143
OR,2014,2015,-1217903.402
OR,2015,2016,37296.33312
OR,2016,2017,136631
PA,2002,2003,367417.0638
PA,2003,2004,955712.1713
PA,2004,2005,-1415487.613
PA,2005,2006,-1958792.842
PA,2006,2007,-2990772.876
PA,2007,2008,-2331497.387
PA,2008,2009,-852803.7078
PA,2009,2010,5141155.64
PA,2010,2011,1670263.543
PA,2011,2012,-377331.0144
PA,2012,2013,173727.6301
PA,2013,2014,-916357.7385
PA,2014,2015,728354.6379
PA,2015,2016,-1433174.922
PA,2016,2017,-795810
RI,2002,2003,-453329.1248
RI,2003,2004,82863.73206
RI,2004,2005,-96917.72425
RI,2005,2006,-255588.1954
RI,2006,2007,-113500.9763
RI,2007,2008,46679.62518
RI,2008,2009,223567.0631
RI,2009,2010,223518.043
RI,2010,2011,-3596.073987
RI,2011,2012,-151486.3004
RI,2012,2013,-295431.5328
RI,2013,2014,-386020.224
RI,2014,2015,-298225.8083
RI,2015,2016,-479017.9109
RI,2016,2017,-237943
SC,2002,2003,-72684.74268
SC,2003,2004,-406530.0733
SC,2004,2005,-948309.6763
SC,2005,2006,-1820841.205
SC,2006,2007,-2086837.935
SC,2007,2008,-1573366.979
SC,2008,2009,-74842.27952
SC,2009,2010,683412.2489
SC,2010,2011,-506531.2921
SC,2011,2012,-1826662.762
SC,2012,2013,-1660847.623
SC,2013,2014,-1187603.589
SC,2014,2015,-1506098.43
SC,2015,2016,-1123864.593
SC,2016,2017,-1848633
SD,2002,2003,-123839.719
SD,2003,2004,-251550.9363
SD,2004,2005,-208729.4223
SD,2005,2006,-213773.4375
SD,2006,2007,-192883.1519
SD,2007,2008,-222878.8705
SD,2008,2009,-66275.02074
SD,2009,2010,82463.09712
SD,2010,2011,-317843.6279
SD,2011,2012,-338371.8172
SD,2012,2013,-245354.1021
SD,2013,2014,-280345.5985
SD,2014,2015,-356102.94
SD,2015,2016,-164017.985
SD,2016,2017,-91829
TN,2002,2003,-103466.819
TN,2003,2004,-1046549.474
TN,2004,2005,-1622596.739
TN,2005,2006,-1412965.023
TN,2006,2007,-2314892.77
TN,2007,2008,-1959496.911
TN,2008,2009,-540108.8653
TN,2009,2010,607150.3731
TN,2010,2011,-633715.8544
TN,2011,2012,-1592594.826
TN,2012,2013,-1440276.506
TN,2013,2014,-1338043.305
TN,2014,2015,-546443.0885
TN,2015,2016,-1421393.668
TN,2016,2017,-1928349
TX,2002,2003,5522316.28
TX,2003,2004,-2492400.524
TX,2004,2005,-8815113.352
TX,2005,2006,-14104465.93
TX,2006,2007,-14324757.64
TX,2007,2008,-15324787.82
TX,2008,2009,-2355237.324
TX,2009,2010,11748060.08
TX,2010,2011,-1627412.254
TX,2011,2012,-7710919.717
TX,2012,2013,-10117572.47
TX,2013,2014,-10788395.1
TX,2014,2015,-17532469.07
TX,2015,2016,-4645830.643
TX,2016,2017,-4332208
UT,2002,2003,202396.5735
UT,2003,2004,18199.06197
UT,2004,2005,-835243.9989
UT,2005,2006,-1226020.764
UT,2006,2007,-2190949.925
UT,2007,2008,-2257107.136
