,state,statenum,legyear,percent5,Rperc,marginshift,rmarginshift,minwage,standmin,marginshift.10,rmarginshift.10,tax,standtax,standtaxlag1,indtax,taxdrop,labor,gverif,policy,landuse,occ,ocourts2,Frtp,frps,frent,findex,knpindex,kpacs,nlabel,nprice,nunfair,banstate,bancorp,bancorpunion,deepsouth,postcit
1039,NH,40,1992,19.83333333,37.75,0.052995277,0.026692817,4.25,0.833333333,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1040,NH,40,1993,31.66666667,47.08333334,0.010916948,-0.00562046,4.25,0.833333333,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1041,NH,40,1994,31.66666667,47.08333334,0.010916948,-0.00562046,4.25,0.833333333,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1042,NH,40,1995,21.54166667,53.91666667,0.048579276,-0.048579276,4.25,0.833333333,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1043,NH,40,1996,21.54166667,53.91666667,0.048579276,-0.048579276,4.75,0.760869565,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1044,NH,40,1997,24.66666667,45,0.017158143,-0.017158143,5.15,0.702898551,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1045,NH,40,1998,24.66666667,45,0.017158143,-0.017158143,5.15,0.702898551,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1046,NH,40,1999,27.75,50.08333334,0.027304776,0.013461775,5.15,0.702898551,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1047,NH,40,2000,27.75,50.08333334,0.027304776,0.013461775,5.15,0.702898551,0.039990613,0.039990613,-7,0.416666667,NA,5,0,0.461114886,0,0.575971549,0.629040369,0.333333333,2.247419,0,0,0,2.25,2,0.5,0,0,0,1,1,0,0,0
1048,NH,40,2001,37.5,61.16666667,0.019631034,-0.019631034,5.15,0.702898551,0.039990613,0.039990613,-8,0.333333333,0.416666667,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1049,NH,40,2002,37.5,61.16666667,0.019631034,-0.019631034,5.15,0.702898551,0.039990613,0.039990613,-8.5,0.291666667,0.333333333,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
