state,legyear,house,sen,dwnom,dwnomfull
IA,2000,0.378,0.297,0.3375,0.3375
IA,2001,0.368,0.316,0.342,0.342
IA,2002,0.309,0.309,0.309,0.309
IA,2003,0.315,0.343,0.329,0.329
IA,2004,0.283,0.333,0.308,0.308
IA,2005,-0.204,-0.677,-0.4405,-0.4405
IA,2006,-0.043,-0.677,-0.36,-0.36
IA,2007,-0.655,-0.83,-0.7425,-0.7425
IA,2008,-0.658,-0.83,-0.744,-0.744
IA,2009,-0.728,-0.86,-0.794,-0.794
IA,2010,-0.728,-0.86,-0.794,-0.794
IA,2011,,,,-0.794
IA,2012,0.397,-0.746,-0.1745,-0.1745
IA,2013,,-0.874,-0.874,-0.874
IA,2014,,,,0.5795
IA,2015,,,,0.5795
IA,2016,,,,0.5795
IA,2017,,,,0.5795
ID,1993,,,,0.5795
ID,1994,,,,0.5795
ID,1995,,,,0.5795
ID,1996,0.577,0.582,0.5795,0.5795
ID,1997,0.689,0.604,0.6465,0.6465
ID,1998,0.685,0.604,0.6445,0.6445
ID,1999,0.681,0.615,0.648,0.648
ID,2000,0.689,0.61,0.6495,0.6495
ID,2001,0.767,0.651,0.709,0.709
ID,2002,0.743,0.666,0.7045,0.7045
ID,2003,0.64,0.604,0.622,0.622
ID,2004,0.629,0.516,0.5725,0.5725
ID,2005,0.66,0.624,0.642,0.642
ID,2006,0.679,0.622,0.6505,0.6505
ID,2007,0.733,0.626,0.6795,0.6795
ID,2008,0.733,0.624,0.6785,0.6785
ID,2009,0.767,0.71,0.7385,0.7385
ID,2010,0.846,0.711,0.7785,0.7785
ID,2011,0.867,0.746,0.8065,0.8065
ID,2012,0.898,0.762,0.83,0.83
ID,2013,0.928,0.872,0.9,0.9
ID,2014,0.916,0.872,0.894,0.894
ID,2015,0.916,0.872,0.894,0.894
ID,2016,0.916,0.872,0.894,0.894
ID,2017,0.916,0.872,0.894,0.894
IL,1993,,,,-0.0505
IL,1994,,,,-0.0505
IL,1995,,,,-0.0505
IL,1996,-0.208,0.107,-0.0505,-0.0505
IL,1997,-0.249,0.103,-0.073,-0.073
IL,1998,-0.249,0.196,-0.0265,-0.0265
IL,1999,-0.359,0.15,-0.1045,-0.1045
IL,2000,-0.359,0.15,-0.1045,-0.1045
IL,2001,-0.209,0.103,-0.053,-0.053
IL,2002,-0.209,0.103,-0.053,-0.053
IL,2003,-0.208,-0.442,-0.325,-0.325
IL,2004,-0.208,-0.442,-0.325,-0.325
IL,2005,-0.202,-0.181,-0.1915,-0.1915
IL,2006,-0.202,-0.181,-0.1915,-0.1915
IL,2007,-0.205,-0.455,-0.33,-0.33
IL,2008,-0.205,-0.455,-0.33,-0.33
IL,2009,-0.215,-0.455,-0.335,-0.335
IL,2010,-0.426,-0.458,-0.442,-0.442
IL,2011,-0.196,-0.425,-0.3105,-0.3105
IL,2012,-0.183,-0.439,-0.311,-0.311
IL,2013,-0.183,-0.473,-0.328,-0.328
IL,2014,-0.189,-0.468,-0.3285,-0.3285
IL,2015,-0.189,-0.468,-0.3285,-0.3285
IL,2016,-0.189,-0.468,-0.3285,-0.3285
IL,2017,-0.189,-0.468,-0.3285,-0.3285
IN,1993,,,,0.614
IN,1994,,,,0.614
IN,1995,,,,0.614
IN,1996,0.483,0.745,0.614,0.614
IN,1997,0.078,0.745,0.4115,0.4115
IN,1998,0.078,0.745,0.4115,0.4115
IN,1999,-0.213,0.743,0.265,0.265
IN,2000,-0.213,0.743,0.265,0.265
IN,2001,-0.213,0.747,0.267,0.267
IN,2002,-0.213,0.747,0.267,0.267
IN,2003,-0.205,0.741,0.268,0.268
IN,2004,-0.213,0.743,0.265,0.265
IN,2005,0.483,0.748,0.6155,0.6155
IN,2006,0.576,0.755,0.6655,0.6655
IN,2007,-0.213,0.748,0.2675,0.2675
IN,2008,-0.177,0.755,0.289,0.289
IN,2009,,,,0.289
IN,2010,,,,0.289
IN,2011,0.772,0.802,0.787,0.787
IN,2012,0.772,0.802,0.787,0.787
IN,2013,0.853,0.804,0.8285,0.8285
IN,2014,0.856,0.822,0.839,0.839
IN,2015,0.856,0.822,0.839,0.839
IN,2016,0.856,0.822,0.839,0.839
IN,2017,0.856,0.822,0.839,0.839
KS,1993,,,,0.2175
KS,1994,,,,0.2175
KS,1995,,,,0.2175
KS,1996,0.303,0.132,0.2175,0.2175
KS,1997,0.414,0.216,0.315,0.315
KS,1998,0.367,0.177,0.272,0.272
KS,1999,0.369,0.15,0.2595,0.2595
KS,2000,0.369,0.15,0.2595,0.2595
KS,2001,0.431,0.216,0.3235,0.3235
KS,2002,0.427,0.216,0.3215,0.3215
KS,2003,0.284,0.216,0.25,0.25
KS,2004,0.285,0.216,0.2505,0.2505
KS,2005,0.406,0.134,0.27,0.27
